epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.605,1.89487,3.07969,1.88149,1.45263,0.51738,0.44872,0.44327,0.20938,0.37434,0.31268,0.25056,0.06632,1.99433,5.33305,4.68173,1.67721,0.0702256,0.00330827,0.00330827
2,63.4714,1.86755,2.94824,1.56427,1.46219,0.51104,0.54295,0.46978,0.21607,0.50638,0.52357,0.4404,0.17921,1.77865,3.3145,2.49494,1.50119,0.0401598,0.00657585,0.00657585
3,90.833,1.85589,2.89231,1.52927,1.47135,0.69966,0.62854,0.69398,0.32655,0.69699,0.61294,0.66946,0.29286,1.88887,3.23394,1.49618,1.51068,0.0100281,0.00977743,0.00977743
4,118.384,1.85968,2.80979,1.51012,1.47021,0.58326,0.54265,0.52524,0.21657,0.58516,0.54265,0.52674,0.20789,1.93777,3.16573,1.7298,1.53078,0.009703,0.009703,0.009703
5,145.729,1.96073,2.94858,1.63468,1.52983,0.58646,0.52098,0.5675,0.22922,0.60294,0.49849,0.55046,0.21244,2.08631,3.3024,1.60706,1.65115,0.009604,0.009604,0.009604
6,172.35,1.87879,2.90343,1.5613,1.52509,0.70443,0.62112,0.6812,0.35616,0.70065,0.61021,0.66266,0.31761,1.77403,2.95629,1.41973,1.47736,0.009505,0.009505,0.009505
7,199.555,1.83899,2.83662,1.48847,1.45406,0.71568,0.61657,0.6906,0.3529,0.71928,0.589,0.66104,0.31759,1.76164,2.88209,1.35102,1.43567,0.009406,0.009406,0.009406
8,226.243,1.7498,2.74373,1.37846,1.41638,0.67038,0.59976,0.65925,0.32672,0.66833,0.59098,0.64713,0.29715,1.82737,2.87659,1.52982,1.46068,0.009307,0.009307,0.009307
9,252.73,1.83444,2.79757,1.44167,1.4731,0.73891,0.63924,0.71932,0.36519,0.73285,0.62097,0.69592,0.33218,1.77071,2.83574,1.31183,1.4438,0.009208,0.009208,0.009208
10,279.703,1.78257,2.76615,1.40333,1.43565,0.74356,0.64834,0.73391,0.39075,0.73763,0.6343,0.71634,0.3444,1.64655,2.7851,1.31235,1.37989,0.009109,0.009109,0.009109
11,307.38,1.76093,2.74233,1.34024,1.41385,0.74813,0.629,0.72061,0.39176,0.74361,0.61157,0.69627,0.35108,1.6973,2.76478,1.29149,1.40919,0.00901,0.00901,0.00901
12,334.128,1.73448,2.70494,1.34571,1.40532,0.76126,0.64581,0.748,0.40766,0.76184,0.63821,0.73563,0.36347,1.63543,2.66931,1.22115,1.36832,0.008911,0.008911,0.008911
13,361.175,1.72505,2.67377,1.29451,1.40187,0.66702,0.60627,0.64641,0.3373,0.66194,0.59624,0.62687,0.29356,1.64837,2.82212,1.47277,1.39285,0.008812,0.008812,0.008812
14,387.745,1.75397,2.71418,1.35436,1.41752,0.76955,0.65626,0.75195,0.39569,0.75935,0.64247,0.72689,0.35337,1.71535,2.68763,1.23395,1.3912,0.008713,0.008713,0.008713
15,416.272,1.73977,2.68594,1.29682,1.38714,0.75078,0.61018,0.70839,0.37219,0.74124,0.59794,0.68873,0.33325,1.74732,2.79176,1.31531,1.4275,0.008614,0.008614,0.008614
16,442.501,1.70152,2.64305,1.27798,1.38488,0.76208,0.65023,0.7482,0.41016,0.75305,0.63596,0.72534,0.36582,1.65027,2.67235,1.19532,1.38235,0.008515,0.008515,0.008515
17,470.008,1.70923,2.63515,1.26164,1.38455,0.76689,0.66585,0.75717,0.41061,0.75868,0.65278,0.73843,0.36747,1.65716,2.63546,1.21282,1.37829,0.008416,0.008416,0.008416
18,497.062,1.72782,2.63443,1.26029,1.40879,0.7253,0.61779,0.68279,0.3564,0.72543,0.60638,0.66814,0.32555,1.73914,2.67272,1.38855,1.47755,0.008317,0.008317,0.008317
19,523.062,1.69574,2.59214,1.25256,1.37865,0.77788,0.67589,0.77078,0.4274,0.77869,0.66702,0.76005,0.38587,1.61164,2.58566,1.15155,1.35213,0.008218,0.008218,0.008218
20,550.607,1.69441,2.58604,1.22155,1.3769,0.69263,0.58341,0.66086,0.3486,0.69739,0.58294,0.6572,0.31131,1.7744,2.95494,1.41179,1.48624,0.008119,0.008119,0.008119
21,588.523,1.7041,2.65647,1.25205,1.37738,0.7264,0.62342,0.70593,0.38352,0.72154,0.61513,0.69475,0.34675,1.6574,2.63087,1.23801,1.38822,0.00802,0.00802,0.00802
22,615.218,1.67453,2.60002,1.24032,1.3648,0.76448,0.62703,0.71849,0.39021,0.75298,0.61173,0.69594,0.34129,1.70478,2.71199,1.33169,1.41518,0.007921,0.007921,0.007921
23,641.913,1.68198,2.57928,1.17703,1.37027,0.78344,0.66111,0.75884,0.40263,0.77965,0.64,0.73569,0.36431,1.71763,2.62897,1.19563,1.39789,0.007822,0.007822,0.007822
24,669.128,1.65249,2.55051,1.19442,1.37836,0.79143,0.67313,0.77104,0.42207,0.78256,0.65657,0.74836,0.37538,1.63001,2.59984,1.14435,1.37076,0.007723,0.007723,0.007723
25,696.282,1.66563,2.57206,1.17278,1.3577,0.77198,0.65157,0.74571,0.41018,0.76885,0.63239,0.72471,0.35955,1.68032,2.652,1.24655,1.41443,0.007624,0.007624,0.007624
26,723.402,1.67335,2.5714,1.23559,1.37249,0.75189,0.62794,0.72655,0.38018,0.75083,0.61021,0.7028,0.33624,1.75368,2.70845,1.25999,1.42608,0.007525,0.007525,0.007525
